"Scalability (Nuts 200 : 1400 point sets):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.02551939557615,0.02347373548796,0.07276496714098,0.17025683554543,0.03749330814822,0.0194864251396,0.034059254737,0.04101381472533,0.15612059571568
,Average,0.02551939557615,,0.02347464952379,0.22834562256806,0.07292796210621,0.23507912815725,0.018410572308,0.45229890327671,0.03642686686358,0.06477942336431
,Frechet,0.02347373548796,0.02347464952379,,0.02348785039717,0.02345037513995,0.02347837978477,0.0234584055788,0.02347762824468,0.02345358665106,0.02345263772189
,Hausdorff,0.07276496714098,0.22834562256806,0.02348785039717,,0.10577051773336,0.3441630269386,0.01522224947065,0.2538736443858,0.04476105328823,0.09849095269486
,Link,0.17025683554543,0.07292796210621,0.02345037513995,0.10577051773336,,0.08523080968983,0.02787145466517,0.08186526541582,0.02162571881677,0.27797078606757
,Max,0.03749330814822,0.23507912815725,0.02347837978477,0.3441630269386,0.08523080968983,,0.01745283682908,0.05924530432359,0.03919233851712,0.0770412384
,Mean,0.0194864251396,0.018410572308,0.0234584055788,0.01522224947065,0.02787145466517,0.01745283682908,,0.0175247716367,0.02574853837761,0.02658385488936
,Min,0.034059254737,0.45229890327671,0.02347762824468,0.2538736443858,0.08186526541582,0.05924530432359,0.0175247716367,,0.03868702985796,0.07371130657932
,"Sum of Min",0.04101381472533,0.03642686686358,0.02345358665106,0.04476105328823,0.02162571881677,0.03919233851712,0.02574853837761,0.03868702985796,,0.02389147415805
,Surjection,0.15612059571568,0.06477942336431,0.02345263772189,0.09849095269486,0.27797078606757,0.0770412384,0.02658385488936,0.07371130657932,0.02389147415805,
,,,,,,,,,,,
"Scalability Using Orchid (Nuts 200 : 1400 point sets):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.02561981884878,0.02298629563766,0.03263666770546,0.19617970429121,0.02875617268072,0.01272660112447,0.0364176659842,0.01111180137452,0.02044331281426
,Average,0.02561981884878,,0.02298441368929,0.14799484747699,0.01273560441016,0.06708628252136,0.01098133186428,0.3792937358281,0.01162166953277,0.02427758825705
,Frechet,0.02298629563766,0.02298441368929,,0.02298094511382,0.02298776128911,0.02298478923785,0.0229686382259,0.02298751400012,0.02299995893726,0.02298168973465
,Hausdorff,0.03263666770546,0.14799484747699,0.02298094511382,,0.00465539125469,0.21140343867059,0.0137576692533,0.20882153742296,0.00919314101972,0.0343519570424
,Link,0.19617970429121,0.01273560441016,0.02298776128911,0.00465539125469,,0.01376679340353,0.01121889487901,0.02350232185751,0.01141071188165,0.0088406141599
,Max,0.02875617268072,0.06708628252136,0.02298478923785,0.21140343867059,0.01376679340353,,0.01085368503138,0.25830904981015,0.0117827728807,0.00893581455903
,Mean,0.01272660112447,0.01098133186428,0.0229686382259,0.0137576692533,0.01121889487901,0.01085368503138,,0.00915773307415,0.01129202240353,0.01217159641841
,Min,0.0364176659842,0.3792937358281,0.02298751400012,0.20882153742296,0.02350232185751,0.25830904981015,0.00915773307415,,0.01366697229653,0.00542385513648
,"Sum of Min",0.01111180137452,0.01162166953277,0.02299995893726,0.00919314101972,0.01141071188165,0.0117827728807,0.01129202240353,0.01366697229653,,0.01062696248577
,Surjection,0.02044331281426,0.02427758825705,0.02298168973465,0.0343519570424,0.0088406141599,0.00893581455903,0.01217159641841,0.00542385513648,0.01062696248577,
,,,,,,,,,,,
"Scalability Using Orchid (Whole Dbpedia):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.11088241072607,0.00067164685149,0.07893534439835,0.36893358642418,0.13241292374978,0.03347094503603,0.45581088824684,0.09234491797765,0.22050032720133
,Average,0.11088241072607,,0.0009337473549,0.24853274684213,0.12754358407261,0.13488490883887,0.38838807946067,0.04331861915209,0.1440838421782,0.11927560920006
,Frechet,0.00067164685149,0.0009337473549,,0.0006458220824,0.0005880813437,0.00077862653461,0.00075877149492,0.00113738564705,0.00070927424663,0.00067539832254
,Hausdorff,0.07893534439835,0.24853274684213,0.0006458220824,,0.02560307893675,0.4992688261509,0.15660534497902,0.26365004997441,0.18587112407921,0.03362018854029
,Link,0.36893358642418,0.12754358407261,0.0005880813437,0.02560307893675,,0.1228153307425,0.06838342910586,0.49370925266389,0.12099564032557,0.1951334734601
,Max,0.13241292374978,0.13488490883887,0.00077862653461,0.4992688261509,0.1228153307425,,0.06298292088851,0.19496282197705,0.21455064522415,0.1227331759087
,Mean,0.03347094503603,0.38838807946067,0.00075877149492,0.15660534497902,0.06838342910586,0.06298292088851,,0.13551288011976,0.02475971051322,0.02989243343925
,Min,0.45581088824684,0.04331861915209,0.00113738564705,0.26365004997441,0.49370925266389,0.19496282197705,0.13551288011976,,0.29615762442882,0.39639878287861
,"Sum of Min",0.09234491797765,0.1440838421782,0.00070927424663,0.18587112407921,0.12099564032557,0.21455064522415,0.02475971051322,0.29615762442882,,0.04919418480038
,Surjection,0.22050032720133,0.11927560920006,0.00067539832254,0.03362018854029,0.1951334734601,0.1227331759087,0.02989243343925,0.39639878287861,0.04919418480038,
,,,,,,,,,,,
"Scalability Using Orchid (Whole Nuts):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.0007994557279,1.24539997040236E-06,0.0002278656975,0.03739057880515,0.00234793103951,2.78351919312925E-05,0.00778999374737,6.5394716563006E-05,0.00180006185627
,Average,0.0007994557279,,1.24117080066602E-06,0.44372229080479,0.00071011047378,0.36400264082131,0.00012691123415,0.45199848856484,0.00010504295112,0.01160939454214
,Frechet,1.24539997040236E-06,1.24117080066602E-06,,1.23900823628655E-06,1.24976093409174E-06,1.26903008368721E-06,1.25558686942209E-06,1.27951969905458E-06,1.26019557195376E-06,1.246183915514E-06
,Hausdorff,0.0002278656975,0.44372229080479,1.23900823628655E-06,,0.00087409059321,0.32700602728666,8.81482923766339E-05,0.46477949192601,8.55804572807471E-05,0.04940145722307
,Link,0.03739057880515,0.00071011047378,1.24976093409174E-06,0.00087409059321,,0.00198424691287,1.89719741449411E-05,0.00855099692975,3.49467560562003E-05,0.00141839125452
,Max,0.00234793103951,0.36400264082131,1.26903008368721E-06,0.32700602728666,0.00198424691287,,3.12577413856763E-05,0.24186322875489,2.97930446280372E-05,0.08913551032677
,Mean,2.78351919312925E-05,0.00012691123415,1.25558686942209E-06,8.81482923766339E-05,1.89719741449411E-05,3.12577413856763E-05,,0.00022996115342,2.43418070206873E-07,0.00025671700975
,Min,0.00778999374737,0.45199848856484,1.27951969905458E-06,0.46477949192601,0.00855099692975,0.24186322875489,0.00022996115342,,0.000240619976,0.12707482259328
,"Sum of Min",6.5394716563006E-05,0.00010504295112,1.26019557195376E-06,8.55804572807471E-05,3.49467560562003E-05,2.97930446280372E-05,2.43418070206873E-07,0.000240619976,,0.00016564980068
,Surjection,0.00180006185627,0.01160939454214,1.246183915514E-06,0.04940145722307,0.00141839125452,0.08913551032677,0.00025671700975,0.12707482259328,0.00016564980068,
,,,,,,,,,,,
"Robustness against Discrepancies in Granularity (Nuts):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.00182275344794,0.00012865377167,0.00687270095884,0,3.14918887715547E-07,0.01619204517646,0.00013423859237,0.0138946174529,0.01140761284141
,Average,0.00182275344794,,0.00568875217325,0.37266219027554,0.00182275344794,0.00071886716233,1.4773802729056E-06,8.09779507435501E-05,1.50723011419806E-05,2.44402607955882E-06
,Frechet,0.00012865377167,0.00568875217325,,0.00113895130584,0.00012865377167,0.3182233406856,0.00053210488041,0.00117589359085,0.00071624557092,0.00054956198102
,Hausdorff,0.00687270095884,0.37266219027554,0.00113895130584,,0.00687270095884,0.0036488183479,0.00935733062204,0.00081642319264,0.0092274045909,0.00801630372326
,Link,0.09723297365014,0.00182275344794,0.00012865377167,0.00687270095884,,3.14918887715547E-07,0.01619204517646,0.00013423859237,0.0138946174529,0.01140761284141
,Max,3.14918887715547E-07,0.00071886716233,0.3182233406856,0.0036488183479,3.14918887715547E-07,,6.06805124555186E-05,0.00054909690405,0.00013038262247,7.68411304917531E-05
,Mean,0.01619204517646,1.4773802729056E-06,0.00053210488041,0.00935733062204,0.01619204517646,6.06805124555186E-05,,3.39243434410385E-05,0.01111133727928,0.01612801795929
,Min,0.00013423859237,8.09779507435501E-05,0.00117589359085,0.00081642319264,0.00013423859237,0.00054909690405,3.39243434410385E-05,,1.88738762612622E-05,3.05523257254598E-05
,"Sum of Min",0.0138946174529,1.50723011419806E-05,0.00071624557092,0.0092274045909,0.0138946174529,0.00013038262247,0.01111133727928,1.88738762612622E-05,,0.05348268597407
,Surjection,0.01140761284141,2.44402607955882E-06,0.00054956198102,0.00801630372326,0.01140761284141,7.68411304917531E-05,0.01612801795929,3.05523257254598E-05,0.05348268597407,
,,,,,,,,,,,
"Robustness against Measurement Discrepancies (Nuts):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,5.65160684156672E-07,7.32617129900172E-05,0.00053198170024,0,2.29612075702654E-06,0.07580144806187,7.80873740881375E-07,0.14175553211382,0.26456665019093
,Average,5.65160684156672E-07,,0.11558993089104,1.35416212437407E-06,5.65160684156672E-07,1.01621360234328E-05,6.44859824560962E-09,9.44303434679629E-07,1.65518845378095E-08,1.43591812287201E-07
,Frechet,7.32617129900172E-05,0.11558993089104,,0.00012241483735,7.32617129900172E-05,2.21624571843081E-05,4.0339417515883E-05,5.26274706760385E-07,3.5501403242324E-05,5.32428113019413E-05
,Hausdorff,0.00053198170024,1.35416212437407E-06,0.00012241483735,,0.00053198170024,1.16082590523333E-06,0.00026758681837,3.9703207929659E-07,0.00049648976189,0.00049525984905
,Link,0,5.65160684156672E-07,7.32617129900172E-05,0.00053198170024,,2.29612075702654E-06,0.07580144806187,7.80873740881375E-07,0.14175553211382,0.26456665019093
,Max,2.29612075702654E-06,1.01621360234328E-05,2.21624571843081E-05,1.16082590523333E-06,2.29612075702654E-06,,7.35660125757581E-07,9.16037936808593E-07,7.61347267690517E-07,1.52076744606165E-06
,Mean,0.07580144806187,6.44859824560962E-09,4.0339417515883E-05,0.00026758681837,0.07580144806187,7.35660125757581E-07,,5.08964156353528E-07,0.40745100572959,0.04450467125005
,Min,7.80873740881375E-07,9.44303434679629E-07,5.26274706760385E-07,3.9703207929659E-07,7.80873740881375E-07,9.16037936808593E-07,5.08964156353528E-07,,4.5136233344677E-07,6.38512056706424E-07
,"Sum of Min",0.14175553211382,1.65518845378095E-08,3.5501403242324E-05,0.00049648976189,0.14175553211382,7.61347267690517E-07,0.40745100572959,4.5136233344677E-07,,0.09065170713808
,Surjection,0.26456665019093,1.43591812287201E-07,5.32428113019413E-05,0.00049525984905,0.26456665019093,1.52076744606165E-06,0.04450467125005,6.38512056706424E-07,0.09065170713808,
,,,,,,,,,,,
"Overall Robustness (Nuts):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.00130585590259,0.00129990845954,0.00635001019474,0,8.27054194460866E-06,0.0334272517574,5.69242933062136E-05,0.01755603407454,0.0172239671049
,Average,0.00130585590259,,0.01678568761294,0.5,0.00130585590259,0.00065218796442,1.24281158171904E-05,2.74773072782731E-05,5.10705419108333E-05,2.40012525983406E-05
,Frechet,0.00129990845954,0.01678568761294,,0.00082201523602,0.00129990845954,0.27933019243484,0.00276582889417,0.00661244174056,0.00282363391932,0.00253141279459
,Hausdorff,0.00635001019474,0.5,0.00082201523602,,0.00635001019474,0.00034214094613,0.00832494349023,0.00056050062227,0.00756746352511,0.00669913568639
,Link,0,0.00130585590259,0.00129990845954,0.00635001019474,,8.27054194460866E-06,0.0334272517574,5.69242933062136E-05,0.01755603407454,0.0172239671049
,Max,8.27054194460866E-06,0.00065218796442,0.27933019243484,0.00034214094613,8.27054194460866E-06,,0.00012473943627,0.00067861174121,0.00019197181892,0.00013286797712
,Mean,0.0334272517574,1.24281158171904E-05,0.00276582889417,0.00832494349023,0.0334272517574,0.00012473943627,,5.43264831919372E-06,0.00895975369237,0.02314412218382
,Min,5.69242933062136E-05,2.74773072782731E-05,0.00661244174056,0.00056050062227,5.69242933062136E-05,0.00067861174121,5.43264831919372E-06,,2.21974092079656E-06,4.96437420232273E-06
,"Sum of Min",0.01755603407454,5.10705419108333E-05,0.00282363391932,0.00756746352511,0.01755603407454,0.00019197181892,0.00895975369237,2.21974092079656E-06,,0.05038661001629
,Surjection,0.0172239671049,2.40012525983406E-05,0.00253141279459,0.00669913568639,0.0172239671049,0.00013286797712,0.02314412218382,4.96437420232273E-06,0.05038661001629,
,,,,,,,,,,,
"Robustness against Measurement Discrepancies (Dbpedia):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.25058468371009,0.00011220869752,0.0170547115837,0,0.38902477445002,0.0399798232728,0.0170547115837,0.16308211767253,0.08890390417818
,Average,0.25058468371009,,0.00011747427498,0.03887082047397,0.25058468371009,0.18695048315003,0.120990765284,0.03887082047397,0.23831033363642,0.03524199845512
,Frechet,0.00011220869752,0.00011747427498,,0.00011510513391,0.00011220869752,0.00011490160104,0.00011315421353,0.00011510513391,0.00011793251732,0.00011587458141
,Hausdorff,0.0170547115837,0.03887082047397,0.00011510513391,,0.0170547115837,0.03524199845512,0.01202176439969,0,0.0170547115837,0.00977710636015
,Link,0.18695048315003,0.25058468371009,0.00011220869752,0.0170547115837,,0.38902477445002,0.0399798232728,0.0170547115837,0.16308211767253,0.08890390417818
,Max,0.38902477445002,0.18695048315003,0.00011490160104,0.03524199845512,0.38902477445002,,0.08890390417818,0.03524199845512,0.12099076528401,0.04450467125005
,Mean,0.0399798232728,0.120990765284,0.00011315421353,0.01202176439969,0.0399798232728,0.08890390417818,,0.01202176439969,0.32413064748365,0.35199999999999
,Min,0.0170547115837,0.03887082047397,0.00011510513391,0,0.0170547115837,0.03524199845512,0.01202176439969,,0.0170547115837,0.00977710636015
,"Sum of Min",0.16308211767253,0.23831033363642,0.00011793251732,0.0170547115837,0.16308211767253,0.12099076528401,0.32413064748365,0.0170547115837,,0.31065414751875
,Surjection,0.08890390417818,0.03524199845512,0.00011587458141,0.00977710636015,0.08890390417818,0.04450467125005,0.35199999999999,0.00977710636015,0.31065414751875,
,,,,,,,,,,,
"Overall Robustness (Dbpedia):",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.352,0.00365955366207,0.03524199845512,#DIV/0!,0.04965034160687,0.03524199845512,0.352,0.18695048315003,0.00536003216116
,Average,0.352,,0.0036858000512,0.14712818401222,0.352,0.04450467125005,0.14712818401222,0,0.08890390417818,0.00533930969926
,Frechet,0.00365955366207,0.0036858000512,,0.00366906504705,0.00365955366207,0.00367048301309,0.00366906504705,0.0036858000512,0.00368474219115,8.75592983448527E-05
,Hausdorff,0.03524199845512,0.14712818401222,0.00366906504705,,0.03524199845512,0.31065414751875,0,0.14712818401222,0.08890390417819,0.00530400753447
,Link,#DIV/0!,0.352,0.00365955366207,0.03524199845512,,0.04965034160687,0.03524199845512,0.352,0.18695048315003,0.00536003216116
,Max,0.04965034160687,0.04450467125005,0.00367048301309,0.31065414751875,0.04965034160687,,0.31065414751875,0.04450467125005,0.02580297890559,0.00521018381303
,Mean,0.03524199845512,0.14712818401222,0.00366906504705,0,0.03524199845512,0.31065414751875,,0.14712818401222,0.08890390417819,0.00530400753447
,Min,0.352,0,0.0036858000512,0.14712818401222,0.352,0.04450467125005,0.14712818401222,,0.08890390417818,0.00533930969926
,"Sum of Min",0.18695048315003,0.08890390417818,0.00368474219115,0.08890390417819,0.18695048315003,0.02580297890559,0.08890390417819,0.08890390417818,,0.00536623634937
,Surjection,0.00536003216116,0.00533930969926,8.75592983448527E-05,0.00530400753447,0.00536003216116,0.00521018381303,0.00530400753447,0.00533930969926,0.00536623634937,
,,,,,,,,,,,
"Robustness against Measurement Discrepancies (LGD):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.34869241863841,0.01146018477619,0.0186131299713,0,0.12485455995158,0.18575124868363,0.02165884533145,0.02531088127463,0.03887082047397
,Average,0.34869241863841,,0.0163389616684,0.02598000087053,0.34869241863841,0.07096372388706,0.12416001859184,0.02905734896678,0.07110258886191,0.07547202683453
,Frechet,0.01146018477619,0.0163389616684,,0.08485880528901,0.01146018477619,0.02497404612643,0.03721766355553,0.09388907344972,0.08533915492788,0.00862820124271
,Hausdorff,0.0186131299713,0.02598000087053,0.08485880528901,,0.0186131299713,0.03190457126838,0.03607049581546,0.18695048315003,0.01854760118436,0.02589826593533
,Link,0,0.34869241863841,0.01146018477619,0.0186131299713,,0.12485455995158,0.18575124868363,0.02165884533145,0.02531088127463,0.03887082047397
,Max,0.12485455995158,0.07096372388706,0.02497404612643,0.03190457126838,0.12485455995158,,0.18695048315003,0.03462233223977,0.06640341899994,0.06463968260043
,Mean,0.18575124868363,0.12416001859184,0.03721766355553,0.03607049581546,0.18575124868363,0.18695048315003,,0.03900506159543,0.08964268810642,0.09857086442888
,Min,0.02165884533145,0.02905734896678,0.09388907344972,0.18695048315003,0.02165884533145,0.03462233223977,0.03900506159543,,0.02264063819248,0.0298300929246
,"Sum of Min",0.02531088127463,0.07110258886191,0.08533915492788,0.01854760118436,0.02531088127463,0.06640341899994,0.08964268810642,0.02264063819248,,0.08890390417818
,Surjection,0.03887082047397,0.07547202683453,0.00862820124271,0.02589826593533,0.03887082047397,0.06463968260043,0.09857086442888,0.0298300929246,0.08890390417818,
,,,,,,,,,,,
"Overall Robustness (LGD):",,,,,,,,,,,
,,,,,,,,,,,
T-test,,"Fair Surjection",Average,Frechet,Hausdorff,Link,Max,Mean,Min,"Sum of Min",Surjection
,"Fair Surjection",,0.02838361690617,0.0383134954453,0.06903809133447,0,0.01023793721046,0.01777616678987,0.06903809133447,0.43026485781855,0.13313231398316
,Average,0.02838361690617,,0.02628515200623,0.02412732557886,0.02838361690617,0.2338023773047,0.01493348418618,0.02412732557886,0.03524199845512,0.09756895879313
,Frechet,0.0383134954453,0.02628515200623,,0.04290518922003,0.0383134954453,0.0241629888953,0.02237299331384,0.04290518922003,0.03376014363914,0.02598984710097
,Hausdorff,0.06903809133447,0.02412732557886,0.04290518922003,,0.06903809133447,0.0174317397154,0.01692085806973,0,0.03172988039529,0.02106956827752
,Link,0,0.02838361690617,0.0383134954453,0.06903809133447,,0.01023793721046,0.01777616678987,0.06903809133447,0.43026485781855,0.13313231398316
,Max,0.01023793721046,0.2338023773047,0.0241629888953,0.0174317397154,0.01023793721046,,0.05738096123232,0.0174317397154,0.00661779978184,0.02009310912772
,Mean,0.01777616678987,0.01493348418618,0.02237299331384,0.01692085806973,0.01777616678987,0.05738096123232,,0.01692085806973,0.01460002647852,0.03004378301576
,Min,0.06903809133447,0.02412732557886,0.04290518922003,0,0.06903809133447,0.0174317397154,0.01692085806973,,0.03172988039529,0.02106956827752
,"Sum of Min",0.43026485781855,0.03524199845512,0.03376014363914,0.03172988039529,0.43026485781855,0.00661779978184,0.01460002647852,0.03172988039529,,0.04965034160687
,Surjection,0.13313231398316,0.09756895879313,0.02598984710097,0.02106956827752,0.13313231398316,0.02009310912772,0.03004378301576,0.02106956827752,0.04965034160687,
